Date,GC=F_open,GC=F_high,GC=F_low,GC=F_close
2025-09-10 04:00:00+00:00,3674.5,3680.800048828125,3674.5,3680.0
2025-09-10 05:00:00+00:00,3679.89990234375,3682.699951171875,3677.60009765625,3680.60009765625
2025-09-10 06:00:00+00:00,3680.39990234375,3685.699951171875,3678.300048828125,3682.0
2025-09-10 07:00:00+00:00,3682.10009765625,3687.199951171875,3679.300048828125,3682.60009765625
2025-09-10 08:00:00+00:00,3682.699951171875,3686.699951171875,3680.699951171875,3684.699951171875
2025-09-10 09:00:00+00:00,3684.5,3694.60009765625,3683.199951171875,3693.60009765625
2025-09-10 10:00:00+00:00,3693.300048828125,3696.60009765625,3690.0,3694.39990234375
2025-09-10 11:00:00+00:00,3694.39990234375,3695.0,3688.0,3688.800048828125
2025-09-10 12:00:00+00:00,3688.699951171875,3697.5,3678.800048828125,3683.199951171875
2025-09-10 13:00:00+00:00,3683.199951171875,3694.39990234375,3681.0,3690.699951171875
2025-09-10 14:00:00+00:00,3690.89990234375,3695.300048828125,3683.300048828125,3687.5
2025-09-10 15:00:00+00:00,3687.5,3688.0,3677.5,3683.699951171875
2025-09-10 16:00:00+00:00,3683.699951171875,3686.300048828125,3679.10009765625,3682.0
2025-09-10 17:00:00+00:00,3682.10009765625,3687.199951171875,3680.89990234375,3686.89990234375
2025-09-10 18:00:00+00:00,3686.800048828125,3689.60009765625,3683.89990234375,3684.89990234375
2025-09-10 19:00:00+00:00,3685.0,3686.0,3674.60009765625,3681.699951171875
2025-09-10 20:00:00+00:00,3681.800048828125,3682.60009765625,3678.0,3680.39990234375
2025-09-10 22:00:00+00:00,3680.60009765625,3683.39990234375,3676.60009765625,3678.699951171875
2025-09-10 23:00:00+00:00,3678.89990234375,3684.10009765625,3677.300048828125,3683.199951171875
2025-09-11 00:00:00+00:00,3683.300048828125,3687.0,3680.89990234375,3682.5
2025-09-11 01:00:00+00:00,3682.39990234375,3687.5,3678.199951171875,3679.199951171875
2025-09-11 02:00:00+00:00,3679.300048828125,3681.699951171875,3671.0,3674.89990234375
2025-09-11 03:00:00+00:00,3674.800048828125,3674.89990234375,3666.5,3669.699951171875
2025-09-11 04:00:00+00:00,3669.800048828125,3672.199951171875,3667.5,3668.300048828125
2025-09-11 05:00:00+00:00,3668.300048828125,3670.10009765625,3661.10009765625,3663.0
2025-09-11 06:00:00+00:00,3662.89990234375,3675.5,3660.60009765625,3670.699951171875
2025-09-11 07:00:00+00:00,3670.89990234375,3671.0,3661.300048828125,3667.60009765625
2025-09-11 08:00:00+00:00,3667.699951171875,3669.5,3663.699951171875,3664.60009765625
2025-09-11 09:00:00+00:00,3664.300048828125,3664.300048828125,3651.800048828125,3659.60009765625
2025-09-11 10:00:00+00:00,3659.800048828125,3663.5,3657.60009765625,3659.89990234375
2025-09-11 11:00:00+00:00,3659.800048828125,3660.199951171875,3652.800048828125,3654.89990234375
2025-09-11 12:00:00+00:00,3654.89990234375,3682.0,3651.0,3666.60009765625
2025-09-11 13:00:00+00:00,3666.800048828125,3675.39990234375,3655.5,3667.89990234375
2025-09-11 14:00:00+00:00,3667.699951171875,3676.5,3663.60009765625,3668.0
2025-09-11 15:00:00+00:00,3668.199951171875,3677.10009765625,3668.199951171875,3672.0
2025-09-11 16:00:00+00:00,3671.89990234375,3680.60009765625,3671.699951171875,3674.199951171875
2025-09-11 17:00:00+00:00,3674.39990234375,3675.39990234375,3670.0,3673.10009765625
2025-09-11 18:00:00+00:00,3673.0,3675.300048828125,3669.300048828125,3671.39990234375
2025-09-11 19:00:00+00:00,3671.39990234375,3676.699951171875,3671.199951171875,3675.39990234375
2025-09-11 20:00:00+00:00,3675.300048828125,3676.300048828125,3672.10009765625,3673.39990234375
2025-09-11 22:00:00+00:00,3672.800048828125,3676.60009765625,3671.199951171875,3672.89990234375
2025-09-11 23:00:00+00:00,3672.89990234375,3674.199951171875,3669.0,3669.199951171875
2025-09-12 00:00:00+00:00,3669.199951171875,3674.89990234375,3667.300048828125,3673.800048828125
2025-09-12 01:00:00+00:00,3674.0,3686.300048828125,3673.89990234375,3685.0
2025-09-12 02:00:00+00:00,3685.0,3690.10009765625,3683.39990234375,3688.699951171875
2025-09-12 03:00:00+00:00,3688.60009765625,3692.39990234375,3687.0,3691.800048828125
2025-09-12 04:00:00+00:00,3692.0,3695.0,3690.5,3693.5
2025-09-12 05:00:00+00:00,3693.5,3695.5,3690.89990234375,3691.89990234375
2025-09-12 06:00:00+00:00,3691.800048828125,3692.60009765625,3687.199951171875,3689.300048828125
2025-09-12 07:00:00+00:00,3689.10009765625,3691.800048828125,3685.699951171875,3686.300048828125
2025-09-12 08:00:00+00:00,3686.300048828125,3689.5,3677.300048828125,3678.699951171875
2025-09-12 09:00:00+00:00,3678.60009765625,3685.0,3675.300048828125,3684.5
